WSS1 WSS2 WSSadd WSSdrop split throughput time totalTraffic trafficSuccessNum
0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 1 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 2 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 3 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 4 0.0 0.0
0.0 1.0 1.0 0.0 0.0 4.0 5 1.0 1.0
1.0 1.0 1.0 0.0 0.0 8.0 6 2.0 2.0
1.0 1.0 1.0 0.0 0.0 8.0 7 2.0 2.0
2.0 2.0 1.0 0.0 0.0 40.0 8 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 9 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 10 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 11 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 12 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 13 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 14 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 15 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 16 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 17 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 18 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 19 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 20 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 21 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 22 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 23 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 24 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 25 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 26 3.0 3.0
2.0 2.0 1.0 0.0 0.0 40.0 27 3.0 3.0
2.0 2.0 1.0 0.0 0.0 72.0 28 4.0 4.0
2.0 2.0 1.0 0.0 0.0 72.0 29 4.0 4.0
2.0 2.0 1.0 0.0 0.0 72.0 30 4.0 4.0
2.0 2.0 1.0 0.0 0.0 72.0 31 4.0 4.0
2.0 2.0 2.0 0.0 0.0 75.0 32 5.0 5.0
2.0 2.0 2.0 0.0 0.0 75.0 33 5.0 5.0
2.0 2.0 2.0 0.0 0.0 75.0 34 5.0 5.0
2.0 2.0 2.0 0.0 0.0 75.0 35 5.0 5.0
2.0 2.0 2.0 0.0 0.0 79.0 36 6.0 6.0
2.0 2.0 2.0 0.0 0.0 79.0 37 6.0 6.0
2.0 2.0 2.0 0.0 0.0 79.0 38 6.0 6.0
3.0 2.0 2.0 1.0 0.0 87.0 39 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 40 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 41 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 42 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 43 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 44 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 45 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 46 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 47 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 48 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 49 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 50 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 51 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 52 7.0 7.0
3.0 2.0 2.0 1.0 0.0 87.0 53 7.0 7.0
3.0 3.0 3.0 1.0 0.0 90.0 54 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 55 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 56 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 57 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 58 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 59 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 60 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 61 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 62 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 63 8.0 8.0
3.0 3.0 3.0 1.0 0.0 90.0 64 8.0 8.0
3.0 3.0 3.0 1.0 0.0 122.0 65 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 66 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 67 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 68 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 69 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 70 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 71 9.0 9.0
3.0 3.0 3.0 1.0 0.0 122.0 72 9.0 9.0
3.0 3.0 3.0 1.0 0.0 154.0 73 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 74 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 75 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 76 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 77 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 78 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 79 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 80 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 81 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 82 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 83 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 84 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 85 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 86 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 87 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 88 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 89 10.0 10.0
3.0 3.0 3.0 1.0 0.0 154.0 90 10.0 10.0
4.0 3.0 3.0 1.0 1.0 162.0 91 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 92 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 93 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 94 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 95 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 96 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 97 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 98 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 99 11.0 11.0
4.0 3.0 3.0 1.0 1.0 162.0 100 11.0 11.0
4.0 4.0 4.0 1.0 1.0 170.0 101 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 102 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 103 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 104 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 105 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 106 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 107 12.0 12.0
4.0 4.0 4.0 1.0 1.0 170.0 108 12.0 12.0
4.0 4.0 4.0 1.0 1.0 178.0 109 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 110 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 111 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 112 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 113 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 114 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 115 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 116 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 117 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 118 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 119 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 120 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 121 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 122 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 123 13.0 13.0
4.0 4.0 4.0 1.0 1.0 178.0 124 13.0 13.0
5.0 4.0 4.0 2.0 1.0 182.0 125 14.0 14.0
5.0 4.0 4.0 2.0 1.0 182.0 126 14.0 14.0
5.0 4.0 4.0 2.0 1.0 214.0 127 15.0 15.0
5.0 4.0 4.0 2.0 1.0 214.0 128 15.0 15.0
5.0 4.0 4.0 2.0 1.0 214.0 129 15.0 15.0
5.0 4.0 4.0 2.0 1.0 214.0 130 15.0 15.0
5.0 4.0 4.0 2.0 1.0 214.0 131 15.0 15.0
5.0 4.0 4.0 2.0 1.0 214.0 132 15.0 15.0
5.0 4.0 4.0 2.0 1.0 222.0 133 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 134 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 135 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 136 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 137 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 138 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 139 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 140 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 141 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 142 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 143 16.0 16.0
5.0 4.0 4.0 2.0 1.0 222.0 144 16.0 16.0
5.0 4.0 4.0 2.0 1.0 225.0 145 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 146 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 147 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 148 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 149 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 150 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 151 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 152 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 153 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 154 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 155 17.0 17.0
5.0 4.0 4.0 2.0 1.0 225.0 156 17.0 17.0
4.0 4.0 4.0 2.0 1.0 221.0 157 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 158 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 159 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 160 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 161 16.0 16.0
4.0 4.0 4.0 2.0 1.0 221.0 162 16.0 16.0
4.0 4.0 4.0 3.0 1.0 224.0 163 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 164 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 165 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 166 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 167 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 168 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 169 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 170 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 171 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 172 17.0 17.0
4.0 4.0 4.0 3.0 1.0 224.0 173 17.0 17.0
