1node1	2node2	3port	4operation	5startwave	6bandwidth
3	2	6	2	111	3
3	0	5	3	193	1
1	0	5	3	18	2
2	3	6	2	135	2
0	1	0	1	194	2
3	0	5	3	198	3
1	2	2	2	162	3
2	0	1	3	286	4
1	0	1	3	81	4
2	1	2	2	94	1
0	2	0	1	39	3
0	1	0	1	178	4
3	2	7	2	239	1
1	0	4	3	80	2
2	0	1	3	137	4
0	3	0	1	48	3
3	0	2	3	167	2
2	1	1	2	292	4
3	2	1	2	19	3
2	0	6	3	265	4
0	2	0	1	192	1
0	3	0	1	31	1
1	0	1	3	70	1
3	2	7	2	71	1
1	3	6	2	120	4
0	3	0	1	310	4
0	2	0	1	225	1
1	2	6	2	189	3
0	2	0	1	237	2
3	0	2	3	108	3
0	3	0	1	42	3
3	2	4	2	131	3
2	0	7	3	12	4
0	3	0	1	4	4
1	3	4	2	53	3
0	1	0	1	37	4
1	2	3	2	15	2
3	0	2	3	202	4
0	1	0	1	117	2
0	1	0	1	194	2
3	0	2	3	103	2
1	3	4	2	178	3
0	1	0	1	205	2
1	0	5	3	38	4
0	1	0	1	301	3
3	0	3	3	204	3
0	1	0	1	243	1
3	1	1	2	61	2
1	0	7	3	123	3
0	1	0	1	131	2
2	3	2	2	211	3
1	3	2	2	128	1
0	1	0	1	73	3
1	0	4	3	199	4
1	0	1	3	59	1
2	0	1	3	152	4
3	2	2	2	281	1
1	0	4	3	58	2
3	0	4	3	153	1
2	1	6	2	16	1
3	1	6	2	250	2
3	1	2	2	267	4
3	1	2	2	214	1
2	0	1	3	178	4
1	3	4	2	212	1
2	3	7	2	113	2
1	0	1	3	65	4
2	0	3	3	204	4
0	2	0	1	91	4
3	2	7	2	285	2
1	2	7	2	231	3
1	0	1	3	119	4
2	0	3	3	86	4
1	3	7	2	51	3
1	0	5	3	246	4
2	1	4	2	89	1
2	3	5	2	166	4
1	3	3	2	127	2
0	1	0	1	250	1
3	1	1	2	319	1
2	3	2	2	30	2
2	0	2	3	199	3
3	1	5	2	273	3
1	0	5	3	249	2
2	1	7	2	189	4
2	3	6	2	313	1
1	3	1	2	239	2
0	1	0	1	123	4
0	3	0	1	13	1
3	1	7	2	196	2
1	3	5	2	175	3
1	3	6	2	252	1
3	2	1	2	294	1
2	1	4	2	297	1
0	3	0	1	133	1
3	0	2	3	288	3
3	2	2	2	189	2
2	1	6	2	115	1
3	2	3	2	117	2
2	3	5	2	172	1
0	1	0	1	155	2
1	0	6	3	204	1
2	3	4	2	255	2
1	2	6	2	59	1
3	0	4	3	174	1
1	2	1	2	183	3
2	0	2	3	104	4
2	1	6	2	224	2
2	1	7	2	208	4
1	2	2	2	316	2
0	3	0	1	127	1
0	3	0	1	45	3
0	3	0	1	144	2
2	0	1	3	33	4
3	0	1	3	307	2
2	1	5	2	259	4
0	2	0	1	198	3
2	3	6	2	24	1
1	2	3	2	125	1
3	0	4	3	286	3
0	3	0	1	253	3
0	3	0	1	207	1
2	1	6	2	14	3
2	0	2	3	97	3
3	2	7	2	198	1
3	0	2	3	221	4
3	1	6	2	247	3
2	0	1	3	143	4
2	3	7	2	296	4
3	0	2	3	101	2
0	3	0	1	51	2
1	2	7	2	285	3
1	0	4	3	246	3
0	1	0	1	66	1
2	1	3	2	61	2
0	3	0	1	308	2
0	3	0	1	213	4
3	2	6	2	187	2
1	2	7	2	286	3
1	0	4	3	265	1
1	0	1	3	146	2
2	0	3	3	234	1
2	0	3	3	242	4
1	2	1	2	247	1
2	0	3	3	124	1
0	1	0	1	269	2
1	3	4	2	12	4
0	2	0	1	13	2
0	2	0	1	75	4
3	1	7	2	140	2
3	1	3	2	168	3
1	3	2	2	137	4
1	0	5	3	33	2
0	1	0	1	262	3
3	2	5	2	140	2
2	1	6	2	115	2
3	0	4	3	61	2
0	3	0	1	44	4
3	1	3	2	316	1
1	2	7	2	160	4
1	0	5	3	292	3
