index	outport	cost	SuccessFlag
0	18.0	3.0	1.0
1	8.0	2.0	1.0
2	22.0	2.0	1.0
3	15.0	3.0	1.0
4	8.0	2.0	1.0
5	22.0	2.0	1.0
6	0.0	2.0	1.0
7	27.0	3.0	1.0
8	15.0	3.0	1.0
9	0.0	2.0	1.0
10	9.0	2.0	1.0
11	22.0	3.0	1.0
12	8.0	3.0	1.0
13	8.0	3.0	1.0
14	20.0	3.0	1.0
15	26.0	3.0	1.0
16	23.0	3.0	1.0
17	15.0	2.0	1.0
18	9.0	3.0	1.0
19	0.0	2.0	1.0
20	19.0	3.0	1.0
21	15.0	3.0	1.0
22	0.0	2.0	1.0
23	14.0	3.0	1.0
24	11.0	3.0	1.0
25	9.0	2.0	1.0
26	25.0	3.0	1.0
27	15.0	2.0	1.0
28	22.0	2.0	1.0
29	26.0	3.0	1.0
30	0.0	2.0	1.0
31	0.0	2.0	1.0
32	11.0	3.0	1.0
33	0.0	2.0	1.0
34	15.0	2.0	1.0
35	0.0	2.0	1.0
36	26.0	3.0	1.0
37	18.0	3.0	1.0
38	8.0	2.0	1.0
39	21.0	3.0	1.0
40	25.0	3.0	1.0
41	0.0	2.0	1.0
42	11.0	3.0	1.0
43	-1.0	0.0	-1.0
44	14.0	3.0	1.0
45	22.0	2.0	1.0
46	11.0	3.0	1.0
47	26.0	3.0	1.0
48	22.0	2.0	1.0
49	0.0	2.0	1.0
50	11.0	3.0	1.0
51	9.0	2.0	1.0
52	25.0	3.0	1.0
53	10.0	3.0	1.0
54	27.0	3.0	1.0
55	0.0	2.0	1.0
56	10.0	3.0	1.0
57	24.0	3.0	1.0
58	25.0	3.0	1.0
59	27.0	3.0	1.0
60	28.0	3.0	1.0
61	-1.0	0.0	0.0
62	13.0	3.0	1.0
63	10.0	2.0	1.0
64	0.0	2.0	1.0
65	22.0	2.0	1.0
66	22.0	3.0	1.0
67	0.0	2.0	1.0
68	20.0	3.0	1.0
69	0.0	2.0	1.0
70	9.0	3.0	1.0
71	9.0	2.0	1.0
72	-1.0	0.0	-1.0
73	0.0	2.0	1.0
74	15.0	2.0	1.0
75	0.0	2.0	1.0
76	25.0	3.0	1.0
77	19.0	3.0	1.0
78	-1.0	0.0	-1.0
79	21.0	3.0	1.0
80	-1.0	0.0	-1.0
81	9.0	3.0	1.0
82	10.0	3.0	1.0
83	16.0	2.0	1.0
84	16.0	2.0	1.0
85	24.0	3.0	1.0
86	-1.0	0.0	-1.0
87	17.0	3.0	1.0
88	0.0	2.0	1.0
89	0.0	2.0	1.0
90	10.0	3.0	1.0
91	-1.0	0.0	-1.0
92	8.0	2.0	1.0
93	0.0	2.0	1.0
94	0.0	2.0	1.0
95	-1.0	0.0	-1.0
96	0.0	2.0	1.0
97	-1.0	0.0	-1.0
98	16.0	3.0	1.0
99	0.0	2.0	1.0
100	12.0	3.0	1.0
101	-1.0	0.0	-1.0
102	23.0	3.0	1.0
103	12.0	2.0	1.0
104	10.0	2.0	1.0
105	16.0	2.0	1.0
106	8.0	3.0	1.0
107	26.0	3.0	1.0
108	26.0	3.0	1.0
109	0.0	2.0	1.0
110	0.0	2.0	1.0
111	-1.0	0.0	-1.0
112	-1.0	0.0	-1.0
113	0.0	2.0	1.0
114	0.0	2.0	1.0
115	-1.0	0.0	-1.0
116	17.0	3.0	1.0
117	15.0	2.0	1.0
118	-1.0	0.0	-1.0
119	0.0	2.0	1.0
120	8.0	2.0	1.0
121	23.0	2.0	1.0
122	-1.0	0.0	-1.0
123	22.0	2.0	1.0
124	26.0	3.0	1.0
125	0.0	2.0	1.0
126	15.0	2.0	1.0
127	-1.0	0.0	-1.0
128	10.0	2.0	1.0
129	8.0	2.0	1.0
130	8.0	2.0	1.0
131	-1.0	0.0	-1.0
132	19.0	3.0	1.0
133	21.0	3.0	1.0
134	0.0	2.0	1.0
135	-1.0	0.0	-1.0
136	24.0	3.0	1.0
137	9.0	2.0	1.0
138	-1.0	0.0	0.0
139	0.0	2.0	1.0
140	28.0	3.0	1.0
141	17.0	3.0	1.0
142	-1.0	0.0	-1.0
143	17.0	3.0	1.0
144	8.0	2.0	1.0
145	26.0	3.0	1.0
146	23.0	3.0	1.0
147	-1.0	0.0	0.0
148	-1.0	0.0	-1.0
149	15.0	2.0	1.0
150	0.0	0.0	0.0
