SuccessFlag cost index outport
1.0 3.0 0 7.0
1.0 4.0 1 8.0
1.0 4.0 2 21.0
1.0 1.0 3 10.0
1.0 2.0 4 15.0
1.0 1.0 5 10.0
1.0 3.0 6 0.0
1.0 3.0 7 22.0
1.0 1.0 8 28.0
1.0 2.0 9 15.0
1.0 4.0 10 23.0
1.0 3.0 11 17.0
1.0 2.0 12 8.0
1.0 3.0 13 0.0
1.0 1.0 14 9.0
1.0 2.0 15 23.0
1.0 1.0 16 18.0
1.0 2.0 17 0.0
1.0 2.0 18 0.0
1.0 3.0 19 7.0
0.0 0.0 20 -1.0
1.0 1.0 21 28.0
1.0 2.0 22 0.0
1.0 1.0 23 19.0
1.0 1.0 24 18.0
1.0 2.0 25 0.0
1.0 2.0 26 23.0
1.0 2.0 27 0.0
1.0 1.0 28 28.0
1.0 1.0 29 9.0
1.0 2.0 30 0.0
1.0 2.0 31 0.0
1.0 3.0 32 7.0
1.0 3.0 33 17.0
1.0 1.0 34 27.0
1.0 1.0 35 10.0
1.0 3.0 36 0.0
1.0 2.0 37 23.0
1.0 2.0 38 8.0
1.0 3.0 39 17.0
0.0 0.0 40 -1.0
0.0 0.0 41 -1.0
1.0 4.0 42 21.0
1.0 3.0 43 0.0
1.0 3.0 44 0.0
1.0 2.0 45 16.0
1.0 3.0 46 17.0
1.0 3.0 47 7.0
1.0 2.0 48 0.0
1.0 2.0 49 15.0
1.0 3.0 50 23.0
1.0 2.0 51 24.0
1.0 2.0 52 0.0
1.0 1.0 53 28.0
1.0 1.0 54 19.0
1.0 1.0 55 18.0
1.0 2.0 56 16.0
1.0 2.0 57 0.0
1.0 1.0 58 10.0
1.0 2.0 59 16.0
0.0 0.0 60 0.0
