SuccessFlag cost index outport
1.0 2.0 0 8.0
1.0 3.0 1 8.0
1.0 3.0 2 15.0
1.0 3.0 3 13.0
1.0 2.0 4 15.0
1.0 3.0 5 13.0
1.0 2.0 6 0.0
1.0 2.0 7 22.0
1.0 3.0 8 26.0
1.0 2.0 9 15.0
1.0 3.0 10 22.0
1.0 2.0 11 16.0
1.0 2.0 12 8.0
1.0 2.0 13 0.0
1.0 3.0 14 11.0
1.0 2.0 15 22.0
1.0 3.0 16 16.0
1.0 2.0 17 0.0
1.0 2.0 18 0.0
1.0 2.0 19 8.0
0.0 0.0 20 -1.0
1.0 3.0 21 26.0
1.0 2.0 22 0.0
1.0 3.0 23 21.0
1.0 3.0 24 16.0
1.0 2.0 25 0.0
1.0 2.0 26 22.0
1.0 2.0 27 0.0
1.0 3.0 28 26.0
1.0 3.0 29 11.0
1.0 2.0 30 0.0
1.0 2.0 31 0.0
1.0 2.0 32 9.0
1.0 2.0 33 16.0
1.0 3.0 34 24.0
1.0 3.0 35 13.0
1.0 2.0 36 0.0
1.0 2.0 37 23.0
1.0 2.0 38 8.0
1.0 2.0 39 17.0
1.0 3.0 40 15.0
1.0 3.0 41 16.0
0.0 0.0 42 -1.0
1.0 2.0 43 0.0
1.0 2.0 44 0.0
1.0 2.0 45 16.0
1.0 2.0 46 16.0
1.0 2.0 47 10.0
1.0 2.0 48 0.0
1.0 2.0 49 15.0
1.0 2.0 50 23.0
1.0 2.0 51 22.0
1.0 2.0 52 0.0
1.0 3.0 53 26.0
1.0 3.0 54 21.0
1.0 3.0 55 16.0
1.0 2.0 56 17.0
1.0 2.0 57 0.0
1.0 3.0 58 13.0
1.0 2.0 59 16.0
0.0 0.0 60 0.0
