index outport cost SuccessFlag
0 8.0 3.0 1.0
1 8.0 4.0 1.0
2 15.0 1.0 1.0
3 9.0 1.0 1.0
4 17.0 3.0 1.0
5 9.0 1.0 1.0
6 0.0 3.0 1.0
7 23.0 3.0 1.0
8 23.0 4.0 1.0
9 17.0 2.0 1.0
10 23.0 4.0 1.0
11 17.0 3.0 1.0
12 8.0 2.0 1.0
13 0.0 3.0 1.0
14 8.0 4.0 1.0
15 23.0 2.0 1.0
16 17.0 4.0 1.0
17 -1.0 0.0 0.0
18 -1.0 0.0 0.0
19 8.0 2.0 1.0
20 16.0 4.0 1.0
21 22.0 4.0 1.0
22 0.0 2.0 1.0
23 16.0 1.0 1.0
24 18.0 4.0 1.0
25 -1.0 0.0 0.0
26 23.0 2.0 1.0
27 0.0 2.0 1.0
28 22.0 4.0 1.0
29 8.0 4.0 1.0
30 -1.0 0.0 0.0
31 0.0 2.0 1.0
32 8.0 3.0 1.0
33 17.0 2.0 1.0
34 22.0 1.0 1.0
35 9.0 1.0 1.0
36 0.0 3.0 1.0
37 23.0 2.0 1.0
38 8.0 2.0 1.0
39 17.0 3.0 1.0
40 0.0 0.0 0.0
41 18.0 4.0 1.0
42 18.0 4.0 1.0
43 0.0 3.0 1.0
44 0.0 3.0 1.0
45 18.0 2.0 1.0
46 17.0 2.0 1.0
47 10.0 3.0 1.0
48 -1.0 0.0 0.0
49 18.0 2.0 1.0
50 26.0 3.0 1.0
51 23.0 2.0 1.0
52 0.0 2.0 1.0
53 24.0 4.0 1.0
54 0.0 0.0 0.0
55 17.0 4.0 1.0
56 18.0 2.0 1.0
57 0.0 2.0 1.0
58 9.0 1.0 1.0
59 17.0 2.0 1.0
60 23.0 2.0 1.0
61 0.0 0.0 0.0
62 -1.0 0.0 -1.0
63 -1.0 0.0 -1.0
64 -1.0 0.0 -1.0
65 8.0 2.0 1.0
66 0.0 2.0 1.0
67 0.0 2.0 1.0
68 8.0 2.0 1.0
69 0.0 2.0 1.0
70 0.0 3.0 1.0
71 10.0 2.0 1.0
72 23.0 4.0 1.0
73 9.0 1.0 1.0
74 0.0 2.0 1.0
75 8.0 2.0 1.0
76 0.0 3.0 1.0
77 0.0 3.0 1.0
78 -1.0 0.0 0.0
79 0.0 2.0 1.0
80 8.0 4.0 1.0
81 10.0 2.0 1.0
82 9.0 1.0 1.0
83 24.0 4.0 1.0
84 -1.0 0.0 -1.0
85 -1.0 0.0 0.0
86 0.0 2.0 1.0
87 -1.0 0.0 -1.0
88 0.0 2.0 1.0
89 -1.0 0.0 -1.0
90 24.0 4.0 1.0
91 -1.0 0.0 -1.0
92 0.0 0.0 0.0
93 -1.0 0.0 -1.0
94 -1.0 0.0 -1.0
95 0.0 2.0 1.0
96 10.0 3.0 1.0
97 18.0 3.0 1.0
98 0.0 0.0 0.0
99 0.0 2.0 1.0
100 -1.0 0.0 0.0
101 10.0 2.0 1.0
102 0.0 2.0 1.0
103 10.0 3.0 1.0
104 0.0 2.0 1.0
105 -1.0 0.0 -1.0
106 -1.0 0.0 -1.0
107 0.0 3.0 1.0
108 -1.0 0.0 -1.0
109 9.0 1.0 1.0
110 0.0 2.0 1.0
111 -1.0 0.0 0.0
112 0.0 2.0 1.0
113 10.0 2.0 1.0
114 0.0 0.0 0.0
115 18.0 3.0 1.0
116 17.0 2.0 1.0
117 23.0 2.0 1.0
118 17.0 4.0 1.0
119 0.0 2.0 1.0
120 -1.0 0.0 -1.0
121 10.0 3.0 1.0
122 0.0 0.0 0.0
123 9.0 1.0 1.0
124 8.0 4.0 1.0
125 0.0 2.0 1.0
126 -1.0 0.0 -1.0
127 -1.0 0.0 -1.0
