SuccessFlag cost index outport
1.0 2.0 0 10.0
1.0 3.0 1 8.0
1.0 3.0 2 15.0
1.0 3.0 3 13.0
1.0 2.0 4 20.0
1.0 3.0 5 13.0
1.0 2.0 6 0.0
1.0 2.0 7 27.0
1.0 3.0 8 26.0
1.0 2.0 9 18.0
1.0 3.0 10 22.0
1.0 2.0 11 15.0
1.0 2.0 12 11.0
1.0 2.0 13 0.0
1.0 3.0 14 11.0
1.0 2.0 15 23.0
1.0 3.0 16 16.0
1.0 2.0 17 0.0
1.0 2.0 18 0.0
1.0 2.0 19 13.0
1.0 3.0 20 16.0
1.0 3.0 21 26.0
1.0 2.0 22 0.0
1.0 3.0 23 21.0
1.0 3.0 24 16.0
1.0 2.0 25 0.0
1.0 2.0 26 22.0
1.0 2.0 27 0.0
1.0 3.0 28 26.0
1.0 3.0 29 11.0
1.0 2.0 30 0.0
1.0 2.0 31 0.0
1.0 2.0 32 8.0
1.0 2.0 33 17.0
1.0 3.0 34 24.0
1.0 3.0 35 13.0
1.0 2.0 36 0.0
1.0 2.0 37 27.0
1.0 2.0 38 10.0
1.0 2.0 39 15.0
0.0 0.0 40 -1.0
1.0 3.0 41 16.0
0.0 0.0 42 -1.0
1.0 2.0 43 0.0
1.0 2.0 44 0.0
1.0 2.0 45 19.0
0.0 0.0 46 -1.0
1.0 2.0 47 12.0
1.0 2.0 48 0.0
1.0 2.0 49 15.0
0.0 0.0 50 -1.0
1.0 2.0 51 27.0
1.0 2.0 52 0.0
1.0 3.0 53 26.0
1.0 3.0 54 21.0
1.0 3.0 55 16.0
0.0 0.0 56 -1.0
1.0 2.0 57 0.0
0.0 0.0 58 -1.0
1.0 2.0 59 18.0
1.0 2.0 60 22.0
0.0 0.0 61 -1.0
0.0 0.0 62 -1.0
0.0 0.0 63 -1.0
0.0 0.0 64 -1.0
1.0 2.0 65 11.0
1.0 2.0 66 0.0
1.0 2.0 67 0.0
1.0 2.0 68 10.0
1.0 2.0 69 0.0
1.0 2.0 70 0.0
1.0 2.0 71 8.0
1.0 3.0 72 26.0
1.0 3.0 73 13.0
1.0 2.0 74 0.0
1.0 2.0 75 12.0
1.0 2.0 76 0.0
1.0 2.0 77 0.0
0.0 0.0 78 -1.0
1.0 2.0 79 0.0
1.0 3.0 80 11.0
1.0 2.0 81 10.0
1.0 3.0 82 13.0
1.0 3.0 83 26.0
0.0 0.0 84 -1.0
1.0 2.0 85 0.0
1.0 2.0 86 0.0
0.0 0.0 87 -1.0
1.0 2.0 88 0.0
0.0 0.0 89 -1.0
1.0 3.0 90 26.0
0.0 0.0 91 -1.0
1.0 3.0 92 15.0
0.0 0.0 93 -1.0
0.0 0.0 94 -1.0
1.0 2.0 95 0.0
0.0 0.0 96 -1.0
1.0 2.0 97 16.0
0.0 0.0 98 -1.0
1.0 2.0 99 0.0
0.0 0.0 100 -1.0
1.0 2.0 101 12.0
1.0 2.0 102 0.0
1.0 2.0 103 10.0
