,success,length,band
0,1,1,2
1,200,1.525,1217
2,400,1.5825,2349
3,600,1.573333333,3358
4,800,1.55875,4725
5,1000,1.536,5858
6,1200,1.533333333,6752
7,1359,1.548197204,7631
8,1437,1.530967293,8180
9,1549,1.520981278,8473
10,1585,1.496529968,9451
11,1622,1.461775586,9220
12,1802,1.542175361,10008
13,1870,1.50855615,10217
14,1882,1.458554729,10770
15,2025,1.495308642,10900
16,2074,1.492767599,11091
17,2109,1.453769559,11540
18,2010,1.501492537,11426
19,2165,1.443418014,11859
20,2132,1.446060038,11712
21,2094,1.44078319,11455
22,2059,1.470616804,11684
23,2191,1.448653583,11689
24,2118,1.466949953,11632
25,2107,1.466065496,11559
26,2213,1.513330321,11190
27,2218,1.477006312,11366
28,2115,1.456264775,11307
29,2122,1.471253534,11440
30,2171,1.461999079,11528
31,2267,1.474194971,11613
32,2060,1.468446602,11536
33,2201,1.449795547,11718
34,2107,1.503559563,11356
35,2224,1.455035971,11626
36,2165,1.449884527,11449
37,2115,1.442080378,11578
38,2127,1.515749882,11192
