,success,length,band
0,1.0,2.0,2
1,200.0,2.16,1134
2,400.0,2.22,2422
3,600.0,2.1816666666666666,3354
4,800.0,2.14125,4634
5,1000.0,2.156,5599
6,1200.0,2.1691666666666665,7440
7,1400.0,2.1185714285714288,8294
8,1600.0,2.109375,9068
9,1800.0,2.1327777777777777,10371
10,2000.0,2.1435,10949
11,2200.0,2.1695454545454544,12595
12,2388.0,2.1637353433835846,13362
13,2571.0,2.1773628938156357,14650
14,2750.0,2.152,15366
15,2893.0,2.167991704113377,15759
16,2934.0,2.2174505794137698,16070
17,3100.0,2.18,16681
18,3205.0,2.147269890795632,17309
19,3351.0,2.1333930170098476,17444
20,3455.0,2.1328509406657017,17962
21,3432.0,2.160839160839161,17666
22,3480.0,2.1454022988505748,17828
23,3605.0,2.1386962552011095,18463
24,3691.0,2.1081007856949334,18643
25,3696.0,2.1079545454545454,18634
