,success,length,band
0,1.0,1.0,1
1,200.0,1.19,987
2,400.0,1.1775,2340
3,600.0,1.1733333333333333,3696
4,800.0,1.1425,4719
5,997.0,1.2006018054162488,5831
6,1190.0,1.2294117647058824,6863
7,1354.0,1.2776957163958642,7749
8,1401.0,1.3397573162027123,7965
9,1491.0,1.3098591549295775,8076
10,1503.0,1.3506320691949434,8136
11,1501.0,1.3377748167888075,8183
12,1492.0,1.351206434316354,8071
13,1465.0,1.3180887372013652,8176
14,1455.0,1.361512027491409,8110
15,1461.0,1.3374401095140316,8154
16,1477.0,1.3425863236289777,8233
17,1494.0,1.3487282463186077,8097
18,1501.0,1.3564290473017988,8087
19,1550.0,1.3193548387096774,8258
20,1442.0,1.3273231622746187,8189
21,1494.0,1.355421686746988,8090
22,1501.0,1.3371085942704863,8104
23,1529.0,1.3368214519293655,8027
24,1480.0,1.3506756756756757,8135
25,1448.0,1.3625690607734806,8058
