,success,length,band
0,1.0,1.0,1
1,200.0,1.145,1055
2,400.0,1.1575,2406
3,600.0,1.1616666666666666,3477
4,800.0,1.1575,4512
5,1000.0,1.175,6021
6,1195.0,1.209205020920502,6722
7,1358.0,1.2916053019145803,7562
8,1460.0,1.3205479452054794,8059
9,1462.0,1.3317373461012312,8218
10,1547.0,1.3251454427925016,8228
11,1485.0,1.3360269360269361,8101
12,1536.0,1.3268229166666667,8168
13,1469.0,1.3151803948264125,8114
14,1477.0,1.3256601218686526,8160
15,1499.0,1.3268845897264843,8145
16,1474.0,1.3663500678426053,7995
17,1403.0,1.315751960085531,8098
18,1427.0,1.306937631394534,8200
19,1509.0,1.320079522862823,8241
20,1526.0,1.3591087811271299,8254
21,1415.0,1.334982332155477,7970
22,1499.0,1.3122081387591729,8151
23,1516.0,1.3311345646437995,8220
24,1519.0,1.3219223173140224,8114
25,1445.0,1.3204152249134948,8154
