,success,length,band
0,1.0,2.0,2
1,200.0,1.2,1109
2,400.0,1.1575,2166
3,600.0,1.1783333333333332,3543
4,800.0,1.1875,4775
5,1000.0,1.185,5898
6,1194.0,1.1993299832495812,6652
7,1364.0,1.279325513196481,7436
8,1447.0,1.3648928818244643,8034
9,1514.0,1.3124174372523119,8152
10,1491.0,1.3266264252179745,8193
11,1489.0,1.3250503693754196,8165
12,1461.0,1.3292265571526352,8241
13,1504.0,1.3191489361702127,8203
14,1544.0,1.3238341968911918,8162
15,1443.0,1.3437283437283438,8044
16,1445.0,1.3342560553633218,8217
17,1444.0,1.3234072022160666,8356
18,1539.0,1.3209876543209877,8280
19,1563.0,1.3493282149712091,8152
20,1419.0,1.3333333333333333,8230
21,1465.0,1.3276450511945392,8192
22,1395.0,1.325448028673835,8243
23,1414.0,1.338048090523338,8123
24,1505.0,1.3249169435215946,8200
25,1473.0,1.3116089613034623,8211
