,success,length,band
0,1.0,1.0,1
1,200.0,1.145,1055
2,400.0,1.1575,2406
3,600.0,1.1616666666666666,3477
4,800.0,1.1575,4512
5,1000.0,1.163,6021
6,1200.0,1.1666666666666667,6802
7,1396.0,1.177650429799427,7906
8,1563.0,1.165067178502879,8650
9,1685.0,1.1608308605341247,9340
10,1848.0,1.1617965367965368,9468
11,1841.0,1.1526344378055404,9406
12,1832.0,1.1735807860262009,9453
13,1828.0,1.1548140043763677,9590
14,1854.0,1.174217907227616,9532
15,1874.0,1.167556029882604,9529
16,1901.0,1.1635981062598633,9646
17,1882.0,1.1679064824654624,9505
18,1882.0,1.165249734325186,9460
19,1926.0,1.1578400830737279,9725
20,2034.0,1.1533923303834808,9662
21,1883.0,1.1609134360063729,9643
22,1805.0,1.171191135734072,9450
23,1856.0,1.162176724137931,9518
24,1892.0,1.1437632135306555,9805
25,1850.0,1.154054054054054,9617
