,success,length,band
0,1.0,2.0,2
1,200.0,1.2,1109
2,400.0,1.1575,2166
3,600.0,1.1783333333333332,3543
4,800.0,1.1875,4775
5,1000.0,1.163,5898
6,1200.0,1.1716666666666666,6748
7,1400.0,1.1757142857142857,7839
8,1564.0,1.1809462915601023,8773
9,1725.0,1.1681159420289855,9125
10,1792.0,1.1529017857142858,9463
11,1845.0,1.1604336043360433,9483
12,1860.0,1.1833333333333333,9604
13,1848.0,1.1563852813852813,9603
14,1915.0,1.154046997389034,9579
15,1847.0,1.1651326475365458,9546
16,1851.0,1.15505132360886,9740
17,1796.0,1.1542316258351892,9698
18,1909.0,1.1838658983761132,9602
19,1894.0,1.162090813093981,9532
20,1805.0,1.1623268698060942,9700
21,1800.0,1.173888888888889,9549
22,1801.0,1.15047196002221,9789
23,1836.0,1.1661220043572984,9571
24,1862.0,1.1756176154672395,9475
25,1850.0,1.154054054054054,9617
