,success,length,band
0,1.0,2.0,2
1,200.0,1.2,1109
2,400.0,1.1575,2166
3,600.0,1.1783333333333332,3543
4,800.0,1.1875,4775
5,1000.0,1.185,5898
6,1194.0,1.1993299832495812,6652
7,1364.0,1.279325513196481,7436
8,1447.0,1.3648928818244643,8034
9,1514.0,1.3124174372523119,8152
10,1491.0,1.3266264252179745,8193
11,1489.0,1.3250503693754196,8165
12,1461.0,1.3292265571526352,8241
13,1504.0,1.3191489361702127,8203
14,1544.0,1.3238341968911918,8162
15,1443.0,1.3437283437283438,8044
16,1445.0,1.3342560553633218,8217
17,1444.0,1.3234072022160666,8356
18,1539.0,1.3209876543209877,8280
19,1563.0,1.3493282149712091,8152
20,1419.0,1.3333333333333333,8230
21,1465.0,1.3276450511945392,8192
22,1395.0,1.325448028673835,8243
23,1414.0,1.338048090523338,8123
24,1505.0,1.3249169435215946,8200
25,1473.0,1.3116089613034623,8211
26,1.0,1.0,16
27,200.0,1.185,1148
28,400.0,1.145,2296
29,600.0,1.1733333333333333,3406
30,800.0,1.16125,4619
31,1000.0,1.177,5993
32,1195.0,1.2025104602510461,7006
33,1332.0,1.2882882882882882,7667
34,1436.0,1.3196378830083566,7984
35,1482.0,1.3421052631578947,8112
36,1524.0,1.2985564304461943,8299
37,1529.0,1.3257030739045128,8280
38,1504.0,1.3178191489361701,8239
39,1529.0,1.3590582079790714,8237
40,1477.0,1.3452945159106298,8210
41,1476.0,1.3387533875338753,8241
42,1551.0,1.3430045132172792,8224
43,1384.0,1.3410404624277457,8061
44,1547.0,1.3212669683257918,8254
45,1479.0,1.3218390804597702,8195
46,1583.0,1.3385975994946304,8074
47,1477.0,1.3439404197698037,8128
48,1557.0,1.332048811817598,8161
49,1466.0,1.3219645293315143,8075
50,1560.0,1.35,8139
51,1424.0,1.3349719101123596,8220
