,success,length,band
0,1.0,1.0,16
1,200.0,1.185,1148
2,400.0,1.145,2296
3,600.0,1.1733333333333333,3406
4,800.0,1.16125,4619
5,1000.0,1.162,5993
6,1200.0,1.1491666666666667,7086
7,1389.0,1.1691864650827934,8005
8,1556.0,1.1722365038560412,8701
9,1684.0,1.1704275534441806,9004
10,1812.0,1.1467991169977925,9649
11,1794.0,1.1616499442586399,9468
12,1915.0,1.1535248041775457,9732
13,1889.0,1.1619904711487559,9664
14,1855.0,1.1703504043126685,9560
15,1883.0,1.1667551779075942,9704
16,1936.0,1.162706611570248,9582
17,1779.0,1.1652613827993255,9532
18,1897.0,1.1613073273589878,9578
19,1892.0,1.1633192389006342,9562
20,1944.0,1.1671810699588476,9394
21,1822.0,1.1575192096597147,9545
22,1964.0,1.1690427698574337,9589
23,1882.0,1.1636556854410203,9619
24,1943.0,1.1590324240864642,9550
25,1827.0,1.1554460864805693,9737
