,success,length,band
0,1.0,1.0,4
1,200.0,1.19,1530
2,400.0,1.2825,2912
3,600.0,1.3816666666666666,4406
4,739.0,1.3978349120433018,5216
5,882.0,1.427437641723356,5594
6,983.0,1.4445574771108851,6010
7,1128.0,1.4645390070921986,6270
8,1204.0,1.4343853820598007,6536
9,1261.0,1.4242664551942903,6638
10,1306.0,1.4218989280245022,6768
11,1359.0,1.4429727740986018,6650
12,1347.0,1.44097995545657,6822
13,1440.0,1.4236111111111112,6792
14,1344.0,1.4382440476190477,6798
15,1415.0,1.4148409893992933,6870
16,1350.0,1.4288888888888889,6790
17,1327.0,1.4491333835719669,6678
18,1359.0,1.4503311258278146,6768
19,1367.0,1.4484272128749085,6758
20,1374.0,1.445414847161572,6766
21,1376.0,1.4324127906976745,6734
22,1371.0,1.4427425237053246,6808
23,1387.0,1.4361932227829848,6854
24,1320.0,1.4257575757575758,6834
25,1369.0,1.449963476990504,6712
