,success,length,band
0,1.0,1.0,4
1,200.0,1.165,1530
2,400.0,1.1825,2912
3,600.0,1.1916666666666667,4406
4,783.0,1.2120051085568326,5920
5,941.0,1.2167906482465463,6538
6,1040.0,1.2451923076923077,6922
7,1203.0,1.2726517040731504,7182
8,1320.0,1.2598484848484848,7540
9,1399.0,1.2344531808434596,7808
10,1487.0,1.2394082044384667,7974
11,1516.0,1.25,7968
12,1526.0,1.2293577981651376,8042
13,1656.0,1.210144927536232,8274
14,1592.0,1.2261306532663316,8194
15,1675.0,1.2286567164179105,8198
16,1639.0,1.228798047589994,8170
17,1568.0,1.2334183673469388,8082
18,1653.0,1.2244404113732608,8216
19,1600.0,1.231875,8136
20,1687.0,1.2240663900414939,8210
21,1697.0,1.222156747200943,8224
22,1612.0,1.2382133995037221,8080
23,1639.0,1.241000610128127,8166
24,1597.0,1.2442078897933626,8128
25,1626.0,1.2380073800738007,8094
