,success,length,band
0,1.0,1.0,4
1,200.0,1.18,1530
2,400.0,1.245,2912
3,598.0,1.3227424749163879,4374
4,749.0,1.3364485981308412,5376
5,889.0,1.3813273340832395,5706
6,986.0,1.4148073022312373,6082
7,1150.0,1.394782608695652,6358
8,1235.0,1.4226720647773279,6576
9,1278.0,1.3928012519561814,6688
10,1351.0,1.378978534418949,6872
11,1413.0,1.4019815994338287,6880
12,1401.0,1.412562455389008,7006
13,1520.0,1.3921052631578947,7122
14,1388.0,1.3998559077809798,6894
15,1506.0,1.401726427622842,6974
16,1399.0,1.405289492494639,6828
17,1406.0,1.4046941678520626,6844
18,1402.0,1.4022824536376606,6952
19,1451.0,1.4210889042039971,6896
20,1490.0,1.3818791946308724,7124
21,1482.0,1.3927125506072875,6962
22,1444.0,1.4238227146814404,6904
23,1487.0,1.3853396099529254,7098
24,1441.0,1.3997224149895906,7010
25,1458.0,1.4032921810699588,6946
