,success,length,band
0,1.0,1.0,4
1,200.0,1.165,1530
2,400.0,1.1825,2912
3,600.0,1.2033333333333334,4406
4,767.0,1.1903520208604954,5664
5,922.0,1.2342733188720174,6234
6,1021.0,1.246816846229187,6618
7,1189.0,1.234650967199327,6886
8,1318.0,1.2389984825493172,7340
9,1400.0,1.2257142857142858,7572
10,1491.0,1.2360831656606304,7810
11,1540.0,1.2551948051948052,7694
12,1587.0,1.240705734089477,7986
13,1691.0,1.2158486102897694,8100
14,1638.0,1.2332112332112333,8198
15,1755.0,1.225071225071225,8152
16,1700.0,1.2152941176470589,8196
17,1673.0,1.2217573221757323,8060
18,1714.0,1.221703617269545,8162
19,1718.0,1.2270081490104774,8228
20,1782.0,1.2160493827160495,8254
21,1747.0,1.2255294791070406,8178
22,1719.0,1.2402559627690517,8096
23,1775.0,1.223661971830986,8192
24,1690.0,1.219526627218935,8166
25,1781.0,1.2122403144300955,8286
