,success,length,band
0,1.0,1.0,4
1,200.0,1.57,1530
2,400.0,1.6125,2912
3,600.0,1.5983333333333334,4406
4,788.0,1.549492385786802,6000
5,947.0,1.5512143611404434,6718
6,959.0,1.5578727841501565,6790
7,1014.0,1.5739644970414202,6712
8,993.0,1.593152064451158,6714
9,1017.0,1.5417895771878072,6952
10,1043.0,1.5743048897411314,6890
11,1004.0,1.6294820717131475,6564
12,975.0,1.598974358974359,6698
13,1085.0,1.5299539170506913,6950
14,982.0,1.530549898167006,7030
15,1093.0,1.574565416285453,6814
16,993.0,1.5488418932527694,6660
17,965.0,1.5740932642487047,6612
18,960.0,1.5989583333333333,6604
19,962.0,1.5956340956340955,6580
20,1043.0,1.5743048897411314,6730
21,1053.0,1.5935422602089269,6758
22,1051.0,1.5765937202664129,6772
23,1059.0,1.5741265344664779,6782
24,998.0,1.5531062124248498,6878
25,1017.0,1.5811209439528024,6754
