,success,length,band
0,1.0,2.0,4
1,200.0,1.205,1046
2,398.0,1.3165829145728642,2232
3,527.0,1.3681214421252372,2553
4,708.0,1.3912429378531073,3132
5,836.0,1.4055023923444976,3289
6,923.0,1.4225352112676057,3486
7,990.0,1.417171717171717,3583
8,1021.0,1.4691478942213516,3604
9,1111.0,1.4527452745274527,3708
10,1066.0,1.4587242026266416,3763
11,1093.0,1.4574565416285452,3713
12,1142.0,1.458844133099825,3790
13,1244.0,1.4019292604501608,3786
14,1200.0,1.4658333333333333,3807
15,1218.0,1.4540229885057472,3784
16,1251.0,1.4356514788169465,3786
17,1225.0,1.446530612244898,3647
18,1245.0,1.436144578313253,3925
19,1253.0,1.421388667198723,3756
20,1095.0,1.4191780821917808,3725
21,1225.0,1.4522448979591838,3742
22,1173.0,1.4509803921568627,3812
23,1127.0,1.4640638864241349,3647
24,1224.0,1.4444444444444444,3763
25,1179.0,1.4444444444444444,3707
