,success,length,band
0,1.0,1.0,4
1,200.0,1.165,1530
2,400.0,1.225,2912
3,600.0,1.2883333333333333,4406
4,771.0,1.3307392996108949,5728
5,913.0,1.3986856516977,6090
6,1019.0,1.408243375858685,6586
7,1166.0,1.4030874785591767,6782
8,1266.0,1.3949447077409163,7000
9,1312.0,1.4039634146341464,7180
10,1383.0,1.3608098336948662,7332
11,1373.0,1.384559359067735,7264
12,1390.0,1.3834532374100719,7334
13,1516.0,1.3700527704485488,7486
14,1347.0,1.3711952487008165,7362
15,1442.0,1.3814147018030514,7364
16,1402.0,1.3880171184022825,7250
17,1395.0,1.3885304659498208,7278
18,1367.0,1.4030724213606438,7264
19,1433.0,1.360781577110956,7410
20,1406.0,1.379800853485064,7382
21,1432.0,1.380586592178771,7310
22,1423.0,1.3794799718903725,7312
23,1453.0,1.3812801101169994,7382
24,1351.0,1.4159881569207995,7256
25,1390.0,1.371223021582734,7348
