,success,length,band
0,1.0,1.0,4
1,200.0,1.165,1530
2,400.0,1.1725,2912
3,600.0,1.1733333333333333,4406
4,796.0,1.17964824120603,6128
5,951.0,1.227129337539432,6698
6,1065.0,1.2413145539906103,7322
7,1224.0,1.2361111111111112,7542
8,1332.0,1.234984984984985,7756
9,1382.0,1.2257597684515196,8058
10,1492.0,1.2044235924932976,8250
11,1519.0,1.227781435154707,8250
12,1520.0,1.2151315789473685,8442
13,1631.0,1.1851624770079705,8492
14,1546.0,1.2134540750323415,8372
15,1668.0,1.1930455635491606,8626
16,1641.0,1.2029250457038392,8416
17,1586.0,1.1929382093316518,8464
18,1580.0,1.2075949367088608,8474
19,1597.0,1.2047589229805886,8412
20,1665.0,1.2024024024024025,8486
21,1625.0,1.2024615384615385,8468
22,1596.0,1.219298245614035,8350
23,1683.0,1.1990493166963756,8584
24,1616.0,1.2202970297029703,8418
25,1591.0,1.2011313639220615,8438
