,success,length,band
0,1.0,1.0,16
1,200.0,1.085,1470
2,400.0,1.27,2982
3,600.0,1.355,4078
4,747.0,1.4096385542168675,5170
5,886.0,1.4232505643340858,5732
6,1005.0,1.4298507462686567,6000
7,1075.0,1.4902325581395348,6180
8,1206.0,1.4485903814262022,6554
9,1257.0,1.4455051710421638,6636
10,1327.0,1.4431047475508667,6760
11,1307.0,1.449885233358837,6658
12,1295.0,1.4324324324324325,6748
13,1365.0,1.4468864468864469,6752
14,1343.0,1.4534623976172747,6734
15,1353.0,1.426459719142646,6894
16,1315.0,1.444106463878327,6746
17,1304.0,1.4325153374233128,6766
18,1382.0,1.447178002894356,6888
19,1315.0,1.456273764258555,6744
20,1382.0,1.4290882778581766,6894
21,1364.0,1.433284457478006,6868
22,1381.0,1.435916002896452,6830
23,1401.0,1.396859386152748,7006
24,1362.0,1.4368575624082232,6724
25,1389.0,1.4276457883369331,6804
