,success,length,band
0,1.0,1.0,16
1,200.0,1.215,1354
2,400.0,1.1625,2982
3,600.0,1.1833333333333333,4078
4,782.0,1.2314578005115089,5730
5,934.0,1.2483940042826553,6500
6,1071.0,1.2399626517273576,7056
7,1151.0,1.2693310165073848,6988
8,1332.0,1.25,7658
9,1385.0,1.251985559566787,7794
10,1487.0,1.2488231338264963,7824
11,1498.0,1.2443257676902537,8060
12,1513.0,1.232650363516193,7906
13,1600.0,1.229375,8126
14,1625.0,1.204923076923077,8224
15,1576.0,1.2176395939086295,8298
16,1600.0,1.2325,8186
17,1614.0,1.2255266418835191,8322
18,1653.0,1.2165759225650332,8398
19,1556.0,1.231362467866324,8166
20,1658.0,1.2117008443908324,8390
21,1645.0,1.229179331306991,8196
22,1663.0,1.2333132892363199,8138
23,1726.0,1.1923522595596756,8416
24,1592.0,1.2512562814070352,7962
25,1607.0,1.225264467952707,8134
