,success,length,band
0,1.0,1.0,16
1,200.0,1.235,1354
2,400.0,1.25,2982
3,600.0,1.3166666666666667,4078
4,738.0,1.3780487804878048,5026
5,884.0,1.4038461538461537,5700
6,1008.0,1.380952380952381,6048
7,1103.0,1.4360834088848595,6340
8,1259.0,1.3868149324861,6694
9,1291.0,1.4113090627420604,6818
10,1349.0,1.4047442550037064,6806
11,1390.0,1.3964028776978417,6940
12,1360.0,1.4051470588235293,6920
13,1432.0,1.4085195530726258,6968
14,1402.0,1.412981455064194,6944
15,1378.0,1.4172714078374455,7022
16,1436.0,1.4059888579387188,7050
17,1415.0,1.3978798586572438,7058
18,1464.0,1.385928961748634,7092
19,1361.0,1.4298310066127846,6790
20,1419.0,1.372093023255814,7048
21,1413.0,1.4210898796886058,6924
22,1462.0,1.4062927496580027,6956
23,1483.0,1.3715441672285906,7014
24,1430.0,1.4034965034965035,7046
25,1463.0,1.417634996582365,6908
