,success,length,band
0,1.0,1.0,16
1,200.0,1.215,1354
2,400.0,1.1525,2982
3,600.0,1.1866666666666668,4078
4,768.0,1.2213541666666667,5506
5,915.0,1.214207650273224,6196
6,1039.0,1.231953801732435,6544
7,1148.0,1.259581881533101,6916
8,1319.0,1.2524639878695982,7306
9,1402.0,1.2475035663338088,7646
10,1504.0,1.233377659574468,7674
11,1539.0,1.2612085769980508,7918
12,1565.0,1.2268370607028753,7912
13,1653.0,1.2268602540834845,7924
14,1669.0,1.2282804074295985,8114
15,1621.0,1.2196175200493522,8244
16,1687.0,1.2228808535862479,8170
17,1673.0,1.209205020920502,8282
18,1735.0,1.2028818443804035,8506
19,1698.0,1.2249705535924618,8236
20,1750.0,1.2017142857142857,8436
21,1694.0,1.230224321133412,8226
22,1773.0,1.2165820642978002,8282
23,1804.0,1.1812638580931263,8528
24,1717.0,1.219569015725102,8212
25,1772.0,1.2110609480812642,8324
