,success,length,band
0,1.0,1.0,16
1,200.0,1.58,1354
2,400.0,1.545,2982
3,600.0,1.5966666666666667,4078
4,794.0,1.6032745591939546,5922
5,934.0,1.5920770877944326,6644
6,984.0,1.5294715447154472,6806
7,972.0,1.5565843621399178,6696
8,1025.0,1.5560975609756098,6784
9,1061.0,1.5438265786993401,7086
10,1111.0,1.5292529252925293,7050
11,1033.0,1.5401742497579864,6966
12,983.0,1.570701932858596,6706
13,1035.0,1.58743961352657,6728
14,1034.0,1.5802707930367506,6810
15,950.0,1.5978947368421053,6624
16,995.0,1.5798994974874372,6648
17,991.0,1.5317860746720484,6934
18,1033.0,1.543078412391094,6898
19,986.0,1.5943204868154157,6798
20,1023.0,1.5395894428152492,6860
21,1018.0,1.5766208251473477,6760
22,1024.0,1.6025390625,6716
23,1050.0,1.5314285714285714,6830
24,1034.0,1.579303675048356,6788
25,1050.0,1.5152380952380953,6922
