,success,length,band
0,1.0,1.0,16
1,200.0,1.325,1354
2,400.0,1.295,2982
3,600.0,1.3283333333333334,4078
4,800.0,1.32,6018
5,1000.0,1.321,7556
6,1116.0,1.32168458781362,7872
7,1191.0,1.292191435768262,8278
8,1172.0,1.3293515358361774,7988
9,1203.0,1.3100581878636741,8214
10,1270.0,1.2913385826771653,8270
11,1248.0,1.3205128205128205,8372
12,1186.0,1.3187183811129848,8162
13,1243.0,1.3121480289621883,8166
14,1248.0,1.3012820512820513,8224
15,1236.0,1.3001618122977345,8322
16,1244.0,1.3215434083601285,8190
17,1215.0,1.2798353909465021,8348
18,1246.0,1.2921348314606742,8350
19,1200.0,1.3241666666666667,8174
20,1252.0,1.285143769968051,8376
21,1224.0,1.3243464052287581,8070
22,1233.0,1.3211678832116789,8040
23,1274.0,1.2755102040816326,8238
24,1257.0,1.3086714399363564,8218
25,1197.0,1.3199665831244778,8002
