,success,length,band
0,400.0,1.1725,2237
1,450.0,1.1822222222222223,2616
2,499.0,1.2024048096192386,2912
3,541.0,1.201478743068392,3207
4,582.0,1.2560137457044673,3316
5,630.0,1.2095238095238094,3462
6,672.0,1.2157738095238095,3581
7,708.0,1.2443502824858756,3626
8,748.0,1.25,3711
9,758.0,1.2651715039577835,3752
10,816.0,1.2696078431372548,3930
11,856.0,1.2558411214953271,3960
12,874.0,1.259725400457666,4067
13,908.0,1.2940528634361232,3949
14,932.0,1.2714592274678111,4100
15,978.0,1.270961145194274,4138
16,984.0,1.258130081300813,4204
17,1020.0,1.2715686274509803,4199
18,1039.0,1.2531280076997113,4341
19,1072.0,1.2602611940298507,4274
20,1078.0,1.261595547309833,4306
21,1134.0,1.236331569664903,4393
22,1071.0,1.2586367880485527,4364
23,1139.0,1.2651448639157155,4441
24,1129.0,1.2595217006200177,4472
25,1143.0,1.268591426071741,4359
26,1169.0,1.2395209580838322,4421
27,1163.0,1.2416165090283748,4467
28,1178.0,1.2181663837011885,4400
29,1265.0,1.21501976284585,4522
30,1157.0,1.2238547968885047,4428
31,1204.0,1.2624584717607974,4480
32,1176.0,1.251700680272109,4372
33,1235.0,1.2388663967611335,4535
34,1264.0,1.2412974683544304,4494
35,1261.0,1.2299762093576527,4398
36,1233.0,1.2270884022708841,4502
37,1210.0,1.2338842975206612,4496
38,1226.0,1.232463295269168,4508
39,1260.0,1.2357142857142858,4442
40,1267.0,1.2344119968429361,4557
41,1295.0,1.2362934362934364,4546
42,1259.0,1.2366957903097697,4568
