,success,length,band
0,1.0,1.0,16
1,200.0,1.22,1354
2,400.0,1.185,2982
3,600.0,1.2583333333333333,4078
4,763.0,1.3551769331585846,5426
5,915.0,1.3879781420765027,6196
6,1039.0,1.374398460057748,6544
7,1126.0,1.4209591474245116,6864
8,1268.0,1.3982649842271293,7066
9,1292.0,1.3808049535603715,7258
10,1379.0,1.3698332124728063,7246
11,1316.0,1.3791793313069909,7254
12,1345.0,1.4096654275092937,7252
13,1424.0,1.372191011235955,7442
14,1425.0,1.3901754385964913,7400
15,1373.0,1.406409322651129,7360
16,1418.0,1.3928067700987306,7408
17,1368.0,1.3611111111111112,7508
18,1445.0,1.3764705882352941,7432
19,1423.0,1.3808854532677441,7480
20,1431.0,1.3556953179594688,7428
21,1371.0,1.387308533916849,7374
22,1467.0,1.3796864349011588,7370
23,1443.0,1.3617463617463617,7428
24,1408.0,1.3835227272727273,7338
25,1388.0,1.3847262247838616,7182
