,success,length,band
0,1.0,1.0,16
1,200.0,1.215,1354
2,400.0,1.1425,2982
3,600.0,1.1783333333333332,4078
4,796.0,1.214824120603015,5954
5,964.0,1.2136929460580912,6980
6,1087.0,1.2318307267709292,7312
7,1174.0,1.2444633730834753,7380
8,1347.0,1.216778025241277,7994
9,1402.0,1.2346647646219686,8110
10,1494.0,1.2074966532797857,8238
11,1448.0,1.2375690607734806,8216
12,1517.0,1.2003955174686882,8350
13,1577.0,1.2187698161065315,8332
14,1611.0,1.2042209807572937,8444
15,1579.0,1.2026599113362888,8592
16,1619.0,1.2137121680049414,8504
17,1621.0,1.1795188155459593,8742
18,1654.0,1.18863361547763,8602
19,1592.0,1.2003768844221105,8518
20,1618.0,1.1817058096415327,8596
21,1586.0,1.199873896595208,8486
22,1655.0,1.2042296072507552,8450
23,1674.0,1.1750298685782556,8558
24,1615.0,1.2142414860681114,8380
25,1602.0,1.2109862671660425,8460
