,success,length,band
0,1.0,2.0,4
1,200.0,1.135,408
2,400.0,1.1675,779
3,600.0,1.17,1162
4,800.0,1.19125,1597
5,1000.0,1.212,2026
6,1200.0,1.215,2339
7,1400.0,1.2214285714285715,2686
8,1600.0,1.243125,3252
9,1800.0,1.3116666666666668,3642
10,2000.0,1.322,3987
11,2200.0,1.3436363636363637,4365
12,2400.0,1.3820833333333333,4823
13,2599.0,1.375913813005002,5089
14,2797.0,1.3964962459778334,5552
15,2961.0,1.414724755150287,5828
16,3106.0,1.434964584674823,6115
17,3269.0,1.4117467115325788,6328
18,3408.0,1.4348591549295775,6492
19,3517.0,1.4347455217514928,6670
20,3623.0,1.4352746342809826,6690
21,3724.0,1.4256176154672395,6778
22,3791.0,1.4423634924821946,6839
23,3834.0,1.4183620239958268,6959
24,3976.0,1.426056338028169,7173
25,3868.0,1.4224405377456049,7044
