,success,length,band
0,1.0,2.0,4
1,200.0,1.135,408
2,400.0,1.165,779
3,600.0,1.1666666666666667,1162
4,800.0,1.175,1597
5,1000.0,1.185,2026
6,1200.0,1.1683333333333332,2339
7,1400.0,1.16,2686
8,1600.0,1.168125,3252
9,1800.0,1.1805555555555556,3642
10,2000.0,1.186,3987
11,2200.0,1.1790909090909092,4365
12,2400.0,1.19375,4823
13,2600.0,1.1973076923076924,5093
14,2800.0,1.207857142857143,5564
15,3000.0,1.226,5984
16,3194.0,1.2366938008766437,6451
17,3382.0,1.231224127735068,6774
18,3568.0,1.2281390134529149,7080
19,3730.0,1.2225201072386058,7390
20,3853.0,1.243446664936413,7414
21,4022.0,1.2274987568373943,7633
22,4155.0,1.2320096269554752,7834
23,4228.0,1.2294228949858088,8012
24,4413.0,1.2256968048946295,8219
25,4418.0,1.2358533272974197,8167
