,success,length,band
0,1.0,2.0,4
1,200.0,1.135,408
2,400.0,1.165,779
3,600.0,1.17,1162
4,800.0,1.1825,1597
5,1000.0,1.198,2026
6,1200.0,1.205,2339
7,1400.0,1.2021428571428572,2686
8,1600.0,1.22625,3252
9,1800.0,1.2572222222222222,3642
10,2000.0,1.2775,3987
11,2200.0,1.2995454545454546,4365
12,2400.0,1.3245833333333332,4823
13,2598.0,1.325635103926097,5085
14,2788.0,1.3468436154949786,5516
15,2965.0,1.3676222596964587,5844
16,3107.0,1.3813968458319923,6123
17,3258.0,1.387354205033763,6286
18,3419.0,1.3784732377888271,6518
19,3563.0,1.3710356441201235,6754
20,3643.0,1.3733186933845731,6734
21,3795.0,1.3762845849802372,6877
22,3888.0,1.3775720164609053,6989
23,3912.0,1.3698875255623721,7068
24,3966.0,1.373676248108926,7197
25,4038.0,1.3848439821693908,7210
