,success,length,band
0,1.0,2.0,4
1,200.0,1.135,408
2,400.0,1.165,779
3,600.0,1.1666666666666667,1162
4,800.0,1.175,1597
5,1000.0,1.185,2026
6,1200.0,1.1666666666666667,2339
7,1400.0,1.1621428571428571,2686
8,1600.0,1.164375,3252
9,1800.0,1.175,3642
10,2000.0,1.1865,3987
11,2200.0,1.180909090909091,4365
12,2400.0,1.18625,4823
13,2600.0,1.1946153846153846,5093
14,2800.0,1.2035714285714285,5564
15,2998.0,1.2058038692461641,5976
16,3180.0,1.2132075471698114,6395
17,3340.0,1.221556886227545,6606
18,3515.0,1.2147937411095306,6868
19,3681.0,1.2099972833469166,7194
20,3824.0,1.2214958158995817,7274
21,3976.0,1.2175553319919517,7441
22,4116.0,1.2128279883381925,7650
23,4174.0,1.2149017728797318,7775
24,4384.0,1.2107664233576643,8065
25,4404.0,1.2129881925522252,8082
