,success,length,band
0,1.0,2.0,4
1,200.0,1.42,408
2,400.0,1.4975,779
3,600.0,1.485,1162
4,800.0,1.51375,1597
5,1000.0,1.541,2026
6,1200.0,1.4816666666666667,2339
7,1400.0,1.5078571428571428,2686
8,1600.0,1.47625,3252
9,1800.0,1.4933333333333334,3642
10,2000.0,1.4895,3987
11,2200.0,1.4872727272727273,4365
12,2400.0,1.5183333333333333,4823
13,2600.0,1.485,5093
14,2800.0,1.4975,5564
15,3000.0,1.518,5984
16,3200.0,1.5071875,6475
17,3400.0,1.5179411764705881,6846
18,3594.0,1.4936004451864218,7184
19,3689.0,1.4925454052588778,7403
20,3682.0,1.516567083107007,7289
21,3748.0,1.4994663820704375,7356
22,3735.0,1.4990629183400268,7370
23,3709.0,1.502291722836344,7394
24,3741.0,1.4931836407377705,7450
25,3732.0,1.4916934619506967,7425
