,success,length,band
0,1.0,2.0,4
1,200.0,1.245,408
2,400.0,1.2875,779
3,600.0,1.2883333333333333,1162
4,800.0,1.28375,1597
5,1000.0,1.288,2026
6,1200.0,1.265,2339
7,1400.0,1.255,2686
8,1600.0,1.269375,3252
9,1800.0,1.2661111111111112,3642
10,2000.0,1.255,3987
11,2200.0,1.2554545454545454,4365
12,2400.0,1.2583333333333333,4823
13,2600.0,1.2607692307692309,5093
14,2800.0,1.2642857142857142,5564
15,3000.0,1.2893333333333334,5984
16,3200.0,1.281875,6475
17,3400.0,1.2741176470588236,6846
18,3600.0,1.2625,7208
19,3800.0,1.2618421052631579,7670
20,4000.0,1.279,7974
21,4200.0,1.2726190476190475,8315
22,4371.0,1.2699611072981012,8631
23,4343.0,1.2760764448537878,8740
24,4483.0,1.2525094802587553,8941
25,4394.0,1.2683204369594903,8804
