,success,length,band
0,400.0,1.6225,2237
1,450.0,1.6533333333333333,2616
2,500.0,1.666,2928
3,545.0,1.7357798165137615,3271
4,586.0,1.6535836177474403,3380
5,629.0,1.6597774244833068,3446
6,674.0,1.6454005934718101,3649
7,696.0,1.6652298850574712,3518
8,720.0,1.6527777777777777,3601
9,697.0,1.6585365853658536,3610
10,679.0,1.6347569955817378,3612
11,681.0,1.6651982378854626,3561
12,693.0,1.6349206349206349,3578
13,711.0,1.6751054852320675,3572
14,712.0,1.625,3711
15,708.0,1.6610169491525424,3576
16,661.0,1.6520423600605143,3523
17,731.0,1.66484268125855,3640
18,751.0,1.6471371504660453,3692
19,765.0,1.6627450980392158,3588
20,708.0,1.6610169491525424,3619
21,781.0,1.6222791293213827,3633
22,685.0,1.6525547445255475,3591
23,711.0,1.6357243319268635,3668
24,752.0,1.625,3721
25,727.0,1.6629986244841817,3515
26,781.0,1.6581306017925737,3600
27,730.0,1.6082191780821917,3649
28,793.0,1.6519546027742749,3657
29,790.0,1.6468354430379746,3708
30,678.0,1.6607669616519174,3574
31,708.0,1.71045197740113,3533
32,719.0,1.6606397774687065,3646
33,756.0,1.5873015873015872,3705
34,757.0,1.6235138705416117,3674
35,735.0,1.6761904761904762,3580
36,673.0,1.661218424962853,3579
37,671.0,1.6900149031296572,3519
38,705.0,1.6609929078014185,3630
39,734.0,1.6376021798365124,3586
40,678.0,1.6047197640117994,3622
41,731.0,1.6675786593707251,3622
42,700.0,1.6857142857142857,3644
