,success,length,band
0,1.0,2.0,4
1,200.0,1.135,408
2,400.0,1.165,779
3,600.0,1.1683333333333332,1162
4,800.0,1.18125,1597
5,1000.0,1.191,2026
6,1200.0,1.1775,2339
7,1400.0,1.177142857142857,2686
8,1600.0,1.20375,3252
9,1800.0,1.2366666666666666,3642
10,2000.0,1.2575,3987
11,2200.0,1.2568181818181818,4365
12,2400.0,1.31,4823
13,2600.0,1.3088461538461538,5093
14,2796.0,1.3329756795422032,5548
15,2982.0,1.3615023474178405,5912
16,3161.0,1.3770958557418538,6327
17,3303.0,1.3881320012110203,6476
18,3483.0,1.382716049382716,6770
19,3592.0,1.3766703786191536,6938
20,3689.0,1.3841149362970995,6953
21,3829.0,1.382345259858971,7109
22,3917.0,1.381414347715088,7216
23,3902.0,1.3795489492567914,7183
24,4032.0,1.3727678571428572,7403
25,4063.0,1.3775535318730003,7385
