,success,length,band
0,1.0,2.0,4
1,200.0,1.135,408
2,400.0,1.165,779
3,600.0,1.1666666666666667,1162
4,800.0,1.175,1597
5,1000.0,1.184,2026
6,1200.0,1.1666666666666667,2339
7,1400.0,1.1592857142857143,2686
8,1600.0,1.16125,3252
9,1800.0,1.17,3642
10,2000.0,1.176,3987
11,2200.0,1.165,4365
12,2400.0,1.1766666666666667,4823
13,2600.0,1.1723076923076923,5093
14,2800.0,1.1825,5564
15,3000.0,1.197,5984
16,3200.0,1.2071875,6475
17,3396.0,1.2137809187279152,6830
18,3596.0,1.2060622914349277,7192
19,3763.0,1.208078660643104,7522
20,3905.0,1.2197183098591549,7610
21,4058.0,1.2235091177920159,7792
22,4202.0,1.2146596858638743,8025
23,4255.0,1.2049353701527614,8187
24,4426.0,1.1909173068233168,8420
25,4480.0,1.1953125,8455
