,success,length,band
0,1.0,1.0,1
1,200.0,1.0,412
2,400.0,1.01,803
3,600.0,1.0483333333333333,1194
4,800.0,1.0725,1617
5,1000.0,1.128,2036
6,1200.0,1.1666666666666667,2403
7,1400.0,1.2107142857142856,2764
8,1600.0,1.265,3165
9,1800.0,1.3183333333333334,3547
10,2000.0,1.3665,4044
11,2197.0,1.3955393718707327,4338
12,2360.0,1.451271186440678,4696
13,2541.0,1.4687131050767415,5029
14,2693.0,1.4879316747122169,5161
15,2837.0,1.5012336975678533,5309
16,2903.0,1.513262142611092,5446
17,3059.0,1.5060477280156914,5626
18,3026.0,1.5267680105750165,5580
19,3193.0,1.5051675540244285,5744
20,3160.0,1.5202531645569621,5741
21,3196.0,1.55819774718398,5780
22,3240.0,1.5203703703703704,5790
23,3218.0,1.5354257302672467,5739
24,3123.0,1.52129362792187,5701
25,3230.0,1.5362229102167182,5775
