,success,length,band
0,1.0,1.0,1
1,200.0,1.14,390
2,400.0,1.165,795
3,600.0,1.1866666666666668,1213
4,800.0,1.16875,1564
5,1000.0,1.181,2040
6,1200.0,1.1683333333333332,2453
7,1400.0,1.15,2774
8,1600.0,1.16625,3282
9,1800.0,1.1777777777777778,3585
10,2000.0,1.1825,4071
11,2200.0,1.1822727272727274,4446
12,2400.0,1.1975,4773
13,2600.0,1.2030769230769232,5257
14,2800.0,1.2182142857142857,5595
15,3000.0,1.2166666666666666,6001
16,3200.0,1.2275,6382
17,3380.0,1.2331360946745562,6709
18,3554.0,1.2273494653911086,6939
19,3721.0,1.235958075786079,7393
20,3904.0,1.2313012295081966,7430
21,4029.0,1.2323157110945644,7711
22,4162.0,1.2328207592503604,7911
23,4230.0,1.2387706855791962,7963
24,4327.0,1.2248671134735383,8054
25,4476.0,1.233467381590706,8270
