,success,length,band
0,1.0,1.0,1
1,200.0,1.14,390
2,400.0,1.1675,795
3,600.0,1.1933333333333334,1213
4,800.0,1.1775,1564
5,1000.0,1.204,2040
6,1200.0,1.2041666666666666,2453
7,1400.0,1.2014285714285715,2774
8,1600.0,1.236875,3282
9,1800.0,1.2438888888888888,3585
10,2000.0,1.2795,4071
11,2200.0,1.2995454545454546,4446
12,2400.0,1.3183333333333334,4773
13,2594.0,1.338858905165767,5233
14,2783.0,1.352497305066475,5527
15,2952.0,1.358739837398374,5809
16,3120.0,1.3628205128205129,6068
17,3260.0,1.3723926380368099,6241
18,3425.0,1.3778102189781023,6435
19,3536.0,1.3798076923076923,6683
20,3712.0,1.3763469827586208,6772
21,3777.0,1.3844320889594917,6880
22,3857.0,1.385532797511019,6975
23,3905.0,1.3700384122919333,7085
24,4023.0,1.370121799652001,7213
25,4036.0,1.3753716551040633,7238
