,success,length,band
0,1.0,1.0,1
1,200.0,1.14,390
2,400.0,1.165,795
3,600.0,1.1866666666666668,1213
4,800.0,1.17,1564
5,1000.0,1.184,2040
6,1200.0,1.1675,2453
7,1400.0,1.1492857142857142,2774
8,1600.0,1.16375,3282
9,1800.0,1.176111111111111,3585
10,2000.0,1.182,4071
11,2200.0,1.1795454545454545,4446
12,2400.0,1.1941666666666666,4773
13,2600.0,1.2007692307692308,5257
14,2800.0,1.2025,5595
15,2995.0,1.2053422370617697,5981
16,3188.0,1.2073400250941029,6334
17,3344.0,1.2162081339712918,6565
18,3508.0,1.2137970353477765,6755
19,3646.0,1.21996708721887,7087
20,3870.0,1.2131782945736433,7296
21,3981.0,1.2177844762622456,7523
22,4086.0,1.2283406754772395,7599
23,4182.0,1.2259684361549499,7763
24,4309.0,1.2032954281735901,7902
25,4448.0,1.2205485611510791,8119
