,success,length,band
0,1.0,1.0,1
1,200.0,1.45,390
2,400.0,1.52,795
3,600.0,1.5233333333333334,1213
4,800.0,1.51375,1564
5,1000.0,1.518,2040
6,1200.0,1.4941666666666666,2453
7,1400.0,1.4807142857142856,2774
8,1600.0,1.51875,3282
9,1800.0,1.5094444444444444,3585
10,2000.0,1.4875,4071
11,2200.0,1.4913636363636364,4446
12,2400.0,1.5083333333333333,4773
13,2600.0,1.5015384615384615,5257
14,2800.0,1.4882142857142857,5595
15,3000.0,1.506,6001
16,3200.0,1.4940625,6382
17,3400.0,1.5176470588235293,6789
18,3577.0,1.50125803746156,7065
19,3662.0,1.495630802839978,7366
20,3828.0,1.47675026123302,7451
21,3822.0,1.4822082679225537,7501
22,3698.0,1.5086533261222281,7338
23,3682.0,1.5127648017381858,7355
24,3746.0,1.4895888948211427,7429
25,3675.0,1.5126530612244897,7367
