,success,length,band
0,1.0,1.0,1
1,200.0,1.255,390
2,400.0,1.2775,795
3,600.0,1.2666666666666666,1213
4,800.0,1.26875,1564
5,1000.0,1.278,2040
6,1200.0,1.2591666666666668,2453
7,1400.0,1.2357142857142858,2774
8,1600.0,1.2875,3282
9,1800.0,1.2794444444444444,3585
10,2000.0,1.2495,4071
11,2200.0,1.255,4446
12,2400.0,1.2745833333333334,4773
13,2600.0,1.2726923076923078,5257
14,2800.0,1.2742857142857142,5595
15,3000.0,1.2746666666666666,6001
16,3200.0,1.2696875,6382
17,3400.0,1.2905882352941176,6789
18,3600.0,1.2755555555555556,7123
19,3800.0,1.2660526315789473,7701
20,4000.0,1.25875,7804
21,4200.0,1.2697619047619049,8355
22,4357.0,1.280927243516181,8676
23,4371.0,1.2781972088766873,8704
24,4423.0,1.2541261587158037,8840
25,4392.0,1.2764116575591986,8742
