,success,length,band
0,1.0,2.0,4
1,200.0,1.62,1046
2,400.0,1.675,2264
3,579.0,1.6683937823834196,3385
4,705.0,1.6439716312056738,3662
5,696.0,1.6939655172413792,3492
6,720.0,1.6875,3619
7,759.0,1.61133069828722,3705
8,706.0,1.658640226628895,3698
9,748.0,1.6163101604278074,3633
10,669.0,1.6292974588938713,3596
11,679.0,1.6642120765832107,3612
12,693.0,1.6810966810966812,3625
13,740.0,1.6594594594594594,3618
14,700.0,1.6742857142857144,3676
15,725.0,1.6689655172413793,3631
16,749.0,1.6875834445927904,3626
17,758.0,1.6266490765171504,3531
18,722.0,1.667590027700831,3680
19,732.0,1.6079234972677596,3594
20,642.0,1.6713395638629283,3567
21,771.0,1.5966277561608302,3706
22,691.0,1.5991316931982633,3661
23,670.0,1.6402985074626866,3587
24,749.0,1.6128170894526035,3702
25,698.0,1.7249283667621778,3523
