,success,length,band
0,400,1.38,2237
1,450,1.36,2616
2,500,1.386,2928
3,550,1.405454545,3351
4,600,1.426666667,3604
5,650,1.396923077,3782
6,699,1.394849785,4013
7,738,1.368563686,4106
8,777,1.393822394,4175
9,792,1.38510101,4344
10,833,1.37214886,4418
11,840,1.376190476,4251
12,801,1.410736579,4259
13,882,1.392290249,4358
14,849,1.367491166,4456
15,869,1.363636364,4294
16,861,1.347270616,4424
17,866,1.391454965,4315
18,912,1.355263158,4462
19,944,1.366525424,4423
20,898,1.369710468,4370
21,904,1.362831858,4373
22,778,1.384318766,4322
23,898,1.354120267,4482
24,888,1.38963964,4355
25,923,1.351029252,4398
26,943,1.339342524,4506
27,883,1.369195923,4443
28,967,1.341261634,4435
29,960,1.355208333,4488
30,835,1.385628743,4325
31,847,1.387249115,4383
32,851,1.381903643,4372
33,931,1.383458647,4482
34,949,1.358271865,4446
35,907,1.363836825,4341
36,873,1.357388316,4432
37,801,1.368289638,4312
38,854,1.365339578,4345
39,879,1.412969283,4241
40,866,1.367205543,4344
41,933,1.36227224,4450
42,894,1.376957494,4387
