,success,length,band
0,1.0,2.0,4
1,200.0,1.19,1046
2,400.0,1.29,2264
3,555.0,1.3747747747747747,3001
4,718.0,1.4066852367688023,3292
5,846.0,1.4361702127659575,3497
6,891.0,1.4545454545454546,3632
7,955.0,1.4293193717277486,3752
8,1008.0,1.4751984126984128,3745
9,1027.0,1.4342745861733204,3794
10,990.0,1.4464646464646465,3843
11,993.0,1.404833836858006,3870
12,1108.0,1.398014440433213,3920
13,1152.0,1.4019097222222223,3869
14,1054.0,1.4098671726755219,3899
15,1125.0,1.4142222222222223,3869
16,1119.0,1.3994638069705094,3850
17,1074.0,1.4450651769087524,3727
18,1145.0,1.4375545851528384,3970
19,1122.0,1.3654188948306596,3853
20,1008.0,1.4305555555555556,3831
21,1048.0,1.424618320610687,3866
22,1043.0,1.420901246404602,3854
23,947.0,1.4107708553326292,3721
24,1062.0,1.4256120527306968,3759
25,1035.0,1.4164251207729468,3835
