,success,length,band
0,1.0,1.0,1
1,200.0,1.14,390
2,400.0,1.1675,795
3,600.0,1.1866666666666668,1213
4,800.0,1.17125,1564
5,1000.0,1.192,2040
6,1200.0,1.1825,2453
7,1400.0,1.167857142857143,2774
8,1600.0,1.209375,3282
9,1800.0,1.221111111111111,3585
10,2000.0,1.245,4071
11,2200.0,1.2704545454545455,4446
12,2400.0,1.3016666666666667,4773
13,2599.0,1.32127741439015,5253
14,2799.0,1.3569131832797428,5591
15,2977.0,1.3658045011756803,5909
16,3166.0,1.3635502210991788,6250
17,3314.0,1.3777911888955945,6461
18,3464.0,1.3865473441108545,6617
19,3574.0,1.3875209848908785,6865
20,3751.0,1.3830978405758465,6974
21,3805.0,1.3900131406044678,7081
22,3875.0,1.3860645161290324,7172
23,3928.0,1.3818737270875763,7243
24,4014.0,1.3699551569506727,7354
25,4081.0,1.372457730948297,7435
