,success,length,band
0,1.0,1.0,1
1,200.0,1.14,390
2,400.0,1.165,795
3,600.0,1.1866666666666668,1213
4,800.0,1.16875,1564
5,1000.0,1.181,2040
6,1200.0,1.1641666666666666,2453
7,1400.0,1.1485714285714286,2774
8,1600.0,1.16,3282
9,1800.0,1.1644444444444444,3585
10,2000.0,1.1655,4071
11,2200.0,1.1645454545454546,4446
12,2400.0,1.1766666666666667,4773
13,2600.0,1.1784615384615384,5257
14,2800.0,1.1860714285714287,5595
15,3000.0,1.1973333333333334,6001
16,3200.0,1.1959375,6382
17,3393.0,1.209549071618037,6761
18,3573.0,1.2101875174923034,7015
19,3752.0,1.2134861407249466,7515
20,3945.0,1.208618504435995,7600
21,4056.0,1.2164694280078896,7844
22,4176.0,1.2200670498084292,8052
23,4257.0,1.210946676062955,8197
24,4382.0,1.1980830670926517,8321
25,4490.0,1.20913140311804,8461
