,success,length,band
0,1.0,1.0,1
1,200.0,1.165,1055
2,400.0,1.2175,2406
3,600.0,1.2933333333333332,3477
4,796.0,1.3341708542713568,4448
5,947.0,1.3801478352692713,5173
6,1110.0,1.4126126126126126,5362
7,1262.0,1.432646592709984,5774
8,1404.0,1.4138176638176638,6226
9,1525.0,1.4183606557377049,6535
10,1647.0,1.4171220400728597,6440
11,1706.0,1.44021101992966,6529
12,1822.0,1.4105378704720088,6696
13,1848.0,1.402056277056277,6845
14,1919.0,1.4351224596143826,7007
15,1931.0,1.422578974624547,6861
16,1977.0,1.4461305007587253,6938
17,1978.0,1.416582406471183,6962
18,2037.0,1.4030436917034854,7040
19,2040.0,1.3808823529411764,7067
20,2147.0,1.3814625058220773,7223
21,2172.0,1.4083793738489871,7120
22,2104.0,1.3906844106463878,7053
23,2186.0,1.3888380603842634,7082
24,2258.0,1.3821966341895482,7164
25,2200.0,1.385909090909091,7319
