,success,length,band
0,1.0,1.0,1
1,200.0,1.145,1055
2,400.0,1.1625,2406
3,600.0,1.1666666666666667,3477
4,800.0,1.18,4512
5,981.0,1.199796126401631,5717
6,1164.0,1.2147766323024054,6226
7,1310.0,1.2412213740458016,6530
8,1454.0,1.2420907840440165,6906
9,1605.0,1.246728971962617,7259
10,1765.0,1.2351274787535411,7468
11,1886.0,1.2327677624602333,7819
12,1958.0,1.2533197139938712,7796
13,2031.0,1.225504677498769,8015
14,2146.0,1.2581547064305685,8174
15,2176.0,1.239889705882353,8232
16,2247.0,1.2496662216288386,8165
17,2275.0,1.2272527472527472,8495
18,2346.0,1.2344416027280478,8335
19,2377.0,1.2305427008834666,8457
20,2381.0,1.2280554388912222,8401
21,2404.0,1.2375207986688852,8325
22,2544.0,1.217374213836478,8532
23,2547.0,1.2277188849627012,8619
24,2635.0,1.2148007590132828,8488
25,2528.0,1.2207278481012658,8557
