,success,length,band
0,1.0,1.0,1
1,200.0,1.15,1055
2,400.0,1.215,2406
3,600.0,1.285,3477
4,798.0,1.305764411027569,4480
5,937.0,1.3244397011739595,5013
6,1115.0,1.3614349775784753,5442
7,1247.0,1.3937449879711308,5522
8,1405.0,1.3871886120996442,6134
9,1538.0,1.399219765929779,6379
10,1673.0,1.3771667662881053,6500
11,1738.0,1.4085155350978136,6659
12,1848.0,1.4074675324675325,6584
13,1901.0,1.386638611257233,6863
14,1992.0,1.3990963855421688,6967
15,1995.0,1.4015037593984963,6923
16,2097.0,1.4129709108249882,7035
17,2127.0,1.3653032440056418,7166
18,2120.0,1.381132075471698,7231
19,2188.0,1.3683729433272396,7236
20,2251.0,1.3691692581075077,7321
21,2249.0,1.3815028901734103,7233
22,2337.0,1.350449293966624,7391
23,2409.0,1.3785803237858032,7399
24,2428.0,1.3533772652388798,7324
25,2269.0,1.3446452181577788,7392
