,success,length,band
0,1.0,1.0,1
1,200.0,1.145,1055
2,400.0,1.16,2406
3,600.0,1.1716666666666666,3477
4,800.0,1.1725,4512
5,963.0,1.1910695742471444,5429
6,1146.0,1.199825479930192,5938
7,1279.0,1.2275215011727914,6034
8,1436.0,1.222841225626741,6618
9,1591.0,1.2432432432432432,7059
10,1750.0,1.2308571428571429,7144
11,1875.0,1.2293333333333334,7571
12,1970.0,1.2329949238578681,7456
13,2057.0,1.2430724355858045,7757
14,2167.0,1.25703737886479,7877
15,2207.0,1.2396918894426823,7946
16,2326.0,1.2489251934651762,8075
17,2359.0,1.2318779143704959,8264
18,2406.0,1.2373233582709893,8286
19,2451.0,1.2264381884944922,8327
20,2556.0,1.227699530516432,8593
21,2514.0,1.2311058074781225,8258
22,2621.0,1.226631056848531,8396
23,2684.0,1.217585692995529,8537
24,2736.0,1.2160087719298245,8396
25,2672.0,1.2065868263473054,8567
