,success,length,band
0,1.0,1.0,1
1,200.0,1.56,1055
2,400.0,1.6,2406
3,600.0,1.5616666666666668,3477
4,800.0,1.5625,4512
5,1000.0,1.585,6021
6,1185.0,1.550210970464135,6562
7,1293.0,1.625676720804331,6664
8,1317.0,1.548215641609719,6794
9,1358.0,1.5633284241531664,7042
10,1436.0,1.5501392757660166,7057
11,1405.0,1.5466192170818505,6967
12,1447.0,1.5238424326192122,7123
13,1394.0,1.511477761836442,7139
14,1413.0,1.5130927105449399,6995
15,1475.0,1.4928813559322034,7162
16,1396.0,1.5702005730659025,6965
17,1363.0,1.5546588407923698,7059
18,1372.0,1.5502915451895043,6902
19,1366.0,1.5373352855051245,6843
20,1358.0,1.5589101620029455,6900
21,1398.0,1.4992846924177397,6961
22,1411.0,1.54925584691708,7006
23,1420.0,1.556338028169014,7053
24,1423.0,1.572733661278988,6827
25,1420.0,1.5302816901408451,7069
