,success,length,band
0,1.0,1.0,1
1,200.0,1.27,1055
2,400.0,1.2925,2406
3,600.0,1.3116666666666668,3477
4,800.0,1.30125,4512
5,1000.0,1.305,6021
6,1200.0,1.3225,6802
7,1388.0,1.335014409221902,7778
8,1545.0,1.3061488673139159,8362
9,1586.0,1.305170239596469,8281
10,1713.0,1.2983070636310565,8536
11,1653.0,1.3030852994555353,8370
12,1693.0,1.294743059657413,8444
13,1688.0,1.2725118483412323,8504
14,1719.0,1.283304246655032,8527
15,1711.0,1.27177089421391,8526
16,1692.0,1.303191489361702,8429
17,1684.0,1.263064133016627,8603
18,1651.0,1.2943670502725622,8449
19,1731.0,1.2738301559792027,8488
20,1690.0,1.280473372781065,8456
21,1725.0,1.2556521739130435,8522
22,1683.0,1.2953060011883542,8385
23,1700.0,1.2923529411764705,8467
24,1721.0,1.3021499128413714,8364
25,1659.0,1.2730560578661845,8365
