,success,length,band
0,400.0,1.2075,2237
1,450.0,1.1844444444444444,2616
2,492.0,1.241869918699187,2800
3,532.0,1.1954887218045114,3063
4,569.0,1.265377855887522,3108
5,613.0,1.2398042414355628,3190
6,661.0,1.2435703479576399,3405
7,697.0,1.2553802008608321,3450
8,736.0,1.2540760869565217,3519
9,752.0,1.2513297872340425,3656
10,808.0,1.2735148514851484,3790
11,851.0,1.2573443008225618,3784
12,864.0,1.3125,3787
13,903.0,1.3289036544850499,3743
14,931.0,1.288936627282492,3904
15,975.0,1.2974358974358975,4006
16,982.0,1.2881873727087576,4092
17,1005.0,1.2945273631840797,4065
18,1054.0,1.2808349146110056,4171
19,1083.0,1.2927054478301017,4072
20,1071.0,1.2670401493930905,4166
21,1128.0,1.2854609929078014,4172
22,1075.0,1.2827906976744186,4267
23,1134.0,1.2742504409171076,4227
24,1139.0,1.2502194907813873,4314
25,1178.0,1.3089983022071308,4243
26,1183.0,1.2814877430262046,4298
27,1200.0,1.2766666666666666,4325
28,1247.0,1.268644747393745,4291
29,1272.0,1.2327044025157232,4449
30,1206.0,1.2943615257048093,4323
31,1249.0,1.2698158526821457,4423
32,1237.0,1.295877122069523,4277
33,1276.0,1.2899686520376175,4401
34,1293.0,1.2776488785769529,4380
35,1302.0,1.294930875576037,4353
36,1275.0,1.2901960784313726,4403
37,1174.0,1.2674616695059626,4282
38,1266.0,1.2993680884676144,4362
39,1310.0,1.2793893129770992,4316
40,1273.0,1.2725844461901021,4430
41,1363.0,1.267791636096845,4457
42,1342.0,1.301043219076006,4430
