,success,length,band
0,1.0,1.0,1
1,200.0,1.15,1055
2,400.0,1.1975,2406
3,600.0,1.23,3477
4,800.0,1.3025,4512
5,958.0,1.3695198329853862,5349
6,1142.0,1.382661996497373,5874
7,1278.0,1.3912363067292646,6018
8,1425.0,1.3768421052631579,6478
9,1554.0,1.4015444015444016,6843
10,1684.0,1.3942992874109263,6822
11,1759.0,1.419556566230813,7113
12,1860.0,1.3795698924731183,7092
13,1900.0,1.38,7226
14,1953.0,1.3748079877112136,7325
15,1947.0,1.379558294812532,7243
16,2004.0,1.3957085828343314,7244
17,2044.0,1.3830724070450098,7337
18,2106.0,1.3855650522317189,7374
19,2132.0,1.377579737335835,7553
20,2130.0,1.3708920187793427,7512
21,2040.0,1.3950980392156862,7290
22,2115.0,1.3862884160756501,7459
23,2196.0,1.3793260473588342,7600
24,2246.0,1.3637577916295636,7475
25,2063.0,1.3596703829374697,7394
