,success,length,band
0,1.0,1.0,1
1,200.0,1.145,1055
2,400.0,1.1575,2406
3,600.0,1.1616666666666666,3477
4,800.0,1.17125,4512
5,995.0,1.192964824120603,5941
6,1186.0,1.2023608768971332,6578
7,1332.0,1.2184684684684686,6882
8,1479.0,1.2332657200811359,7306
9,1630.0,1.2233128834355829,7767
10,1785.0,1.2201680672268909,7944
11,1877.0,1.2237613212573255,8165
12,1966.0,1.2227873855544251,8078
13,2014.0,1.217477656405164,8322
14,2103.0,1.237280076081788,8471
15,2143.0,1.2216518898740083,8457
16,2214.0,1.2127371273712737,8468
17,2226.0,1.206648697214735,8638
18,2296.0,1.2125435540069687,8646
19,2337.0,1.199828840393667,8703
20,2401.0,1.192003331945023,8696
21,2381.0,1.2087358252834943,8588
22,2519.0,1.1778483525208416,8815
23,2485.0,1.187122736418511,8852
24,2593.0,1.1816428846895488,8808
25,2466.0,1.1857258718572588,8719
