,success,length,band
0,1.0,1.0,16
1,200.0,1.2,1074
2,400.0,1.2225,2377
3,600.0,1.295,3426
4,789.0,1.3536121673003803,4492
5,975.0,1.358974358974359,5084
6,1135.0,1.4114537444933921,5513
7,1265.0,1.3976284584980236,5877
8,1365.0,1.413919413919414,6150
9,1480.0,1.4027027027027028,6260
10,1634.0,1.4204406364749083,6515
11,1694.0,1.4386068476977567,6519
12,1752.0,1.4583333333333333,6766
13,1890.0,1.426984126984127,6663
14,1940.0,1.4288659793814433,6817
15,1985.0,1.4105793450881612,6849
16,2000.0,1.4205,7106
17,2049.0,1.3918984870668618,6990
18,2024.0,1.4244071146245059,6996
19,2170.0,1.4027649769585253,7089
20,2187.0,1.3886602652034752,7261
21,2131.0,1.4040356640075082,7119
22,2218.0,1.3944995491433725,7074
23,2238.0,1.3820375335120643,7106
24,2141.0,1.402148528724895,7129
25,2190.0,1.3954337899543379,7112
