,success,length,band
0,1.0,1.0,16
1,200.0,1.185,1074
2,400.0,1.1575,2377
3,600.0,1.1683333333333332,3426
4,800.0,1.185,4668
5,999.0,1.2032032032032032,5468
6,1169.0,1.2480752780153979,6057
7,1316.0,1.216565349544073,6693
8,1429.0,1.2295311406578027,6898
9,1576.0,1.2493654822335025,7388
10,1735.0,1.2593659942363113,7447
11,1847.0,1.2403898213318896,7687
12,1914.0,1.248171368861024,7886
13,2053.0,1.2425718460789088,7873
14,2137.0,1.2573701450631727,8059
15,2219.0,1.2379450202794051,8160
16,2271.0,1.2324966974900924,8351
17,2309.0,1.227804244261585,8207
18,2273.0,1.2481302243730752,8280
19,2419.0,1.2405952873088053,8430
20,2444.0,1.2234042553191489,8464
21,2447.0,1.2161830813240704,8602
22,2505.0,1.2135728542914173,8437
23,2521.0,1.203490678302261,8453
24,2545.0,1.2349705304518663,8430
25,2600.0,1.2215384615384615,8717
